AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Nahum 3:19	There is no healing of your bruise; your wound is grievous: all that hear the bruit of you shall clap the hands over you: for on whom has not your wickedness passed continually?
Habakkuk 1:1	The burden which Habakkuk the prophet did see.
Habakkuk 1:2	O LORD, how long shall I cry, and you will not hear! even cry out to you of violence, and you will not save!
Habakkuk 1:3	Why do you show me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.
Habakkuk 1:4	Therefore the law is slacked, and judgment does never go forth: for the wicked does compass about the righteous; therefore wrong judgment proceeds.
Habakkuk 1:5	Behold you among the heathen, and regard, and wonder marvelously: for I will work a work in your days which you will not believe, though it be told you.
Habakkuk 1:6	For, see, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the dwelling places that are not theirs.
Habakkuk 1:7	They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.
Habakkuk 1:8	Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hastens to eat.
Habakkuk 1:9	They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.
Habakkuk 1:10	And they shall scoff at the kings, and the princes shall be a scorn to them: they shall deride every strong hold; for they shall heap dust, and take it.
Habakkuk 1:11	Then shall his mind change, and he shall pass over, and offend, imputing this his power to his god.
Habakkuk 1:12	Are you not from everlasting, O LORD my God, my Holy One? we shall not die. O LORD, you have ordained them for judgment; and, O mighty God, you have established them for correction.
Habakkuk 1:13	You are of purer eyes than to behold evil, and can not look on iniquity: why look you on them that deal treacherously, and hold your tongue when the wicked devours the man that is more righteous than he?
Habakkuk 1:14	And make men as the fishes of the sea, as the creeping things, that have no ruler over them?
Habakkuk 1:15	They take up all of them with the angle, they catch them in their net, and gather them in their drag: therefore they rejoice and are glad.
Habakkuk 1:16	Therefore they sacrifice to their net, and burn incense to their drag; because by them their portion is fat, and their meat plenteous.
Habakkuk 1:17	Shall they therefore empty their net, and not spare continually to slay the nations?
Habakkuk 2:1	I will stand on my watch, and set me on the tower, and will watch to see what he will say to me, and what I shall answer when I am reproved.
Habakkuk 2:2	And the LORD answered me, and said, Write the vision, and make it plain on tables, that he may run that reads it.
Habakkuk 2:3	For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry.
Habakkuk 2:4	Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.
Habakkuk 2:5	Yes also, because he transgresses by wine, he is a proud man, neither keeps at home, who enlarges his desire as hell, and is as death, and cannot be satisfied, but gathers to him all nations, and heaps to him all people:
Habakkuk 2:6	Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increases that which is not his! how long? and to him that lades himself with thick clay!
Habakkuk 2:7	Shall they not rise up suddenly that shall bite you, and awake that shall vex you, and you shall be for booties to them?
Habakkuk 2:8	Because you have spoiled many nations, all the remnant of the people shall spoil you; because of men’s blood, and for the violence of the land, of the city, and of all that dwell therein.
Habakkuk 2:9	Woe to him that covets an evil covetousness to his house, that he may set his nest on high, that he may be delivered from the power of evil!
Habakkuk 2:10	You have consulted shame to your house by cutting off many people, and have sinned against your soul.
Habakkuk 2:11	For the stone shall cry out of the wall, and the beam out of the timber shall answer it.
Habakkuk 2:12	Woe to him that builds a town with blood, and establishes a city by iniquity!
Habakkuk 2:13	Behold, is it not of the LORD of hosts that the people shall labor in the very fire, and the people shall weary themselves for very vanity?
Habakkuk 2:14	For the earth shall be filled with the knowledge of the glory of the LORD, as the waters cover the sea.
Habakkuk 2:15	Woe to him that gives his neighbor drink, that put your bottle to him, and make him drunken also, that you may look on their nakedness!
Habakkuk 2:16	You are filled with shame for glory: drink you also, and let your foreskin be uncovered: the cup of the LORD’s right hand shall be turned to you, and shameful spewing shall be on your glory.
Habakkuk 2:17	For the violence of Lebanon shall cover you, and the spoil of beasts, which made them afraid, because of men’s blood, and for the violence of the land, of the city, and of all that dwell therein.
Habakkuk 2:18	What profits the graven image that the maker thereof has graven it; the molten image, and a teacher of lies, that the maker of his work trusts therein, to make dumb idols?
Habakkuk 2:19	Woe to him that said to the wood, Awake; to the dumb stone, Arise, it shall teach! Behold, it is laid over with gold and silver, and there is no breath at all in the middle of it.
Habakkuk 2:20	But the LORD is in his holy temple: let all the earth keep silence before him.
Habakkuk 3:1	A prayer of Habakkuk the prophet on Shigionoth.
Habakkuk 3:2	O LORD, I have heard your speech, and was afraid: O LORD, revive your work in the middle of the years, in the middle of the years make known; in wrath remember mercy.
Habakkuk 3:3	God came from Teman, and the Holy One from mount Paran. Selah. His glory covered the heavens, and the earth was full of his praise.
Habakkuk 3:4	And his brightness was as the light; he had horns coming out of his hand: and there was the hiding of his power.
Habakkuk 3:5	Before him went the pestilence, and burning coals went forth at his feet.
Habakkuk 3:6	He stood, and measured the earth: he beheld, and drove asunder the nations; and the everlasting mountains were scattered, the perpetual hills did bow: his ways are everlasting.
Habakkuk 3:7	I saw the tents of Cushan in affliction: and the curtains of the land of Midian did tremble.
Habakkuk 3:8	Was the LORD displeased against the rivers? was your anger against the rivers? was your wrath against the sea, that you did ride on your horses and your chariots of salvation?
